,yearmonth,count,class
339,1984-03-01,13,high
340,1984-04-01,13,high
341,1984-04-01,13,high
342,1984-05-01,8,high
343,1984-05-01,8,high
344,1984-06-01,10,high
345,1984-06-01,10,high
346,1984-07-01,8,high
347,1984-07-01,8,high
348,1984-08-01,17,high
349,1984-08-01,17,high
350,1984-09-01,8,high
351,1984-09-01,8,high
352,1984-10-01,10,high
353,1984-10-01,10,high
354,1984-11-01,10,high
355,1984-11-01,10,high
356,1984-12-01,9,high
357,1984-12-01,9,high
358,1985-01-01,6,high
359,1985-01-01,6,high
360,1985-02-01,8,high
361,1985-02-01,8,high
362,1985-03-01,12,high
363,1985-03-01,12,high
364,1985-04-01,7,high
365,1985-04-01,7,high
366,1985-05-01,8,high
367,1985-05-01,8,high
368,1985-06-01,16,high
369,1985-06-01,16,high
370,1985-07-01,9,high
371,1985-07-01,9,high
372,1985-08-01,15,high
373,1985-08-01,15,high
374,1985-09-01,12,high
375,1985-09-01,12,high
376,1985-10-01,5,high
377,1985-10-01,5,high
378,1985-11-01,11,high
379,1985-11-01,11,high
380,1985-12-01,15,high
381,1985-12-01,15,high
382,1986-01-01,10,high
383,1986-01-01,10,high
384,1986-02-01,8,high
385,1986-02-01,8,high
386,1986-03-01,17,high
387,1986-03-01,17,high
388,1986-04-01,16,high
389,1986-04-01,16,high
390,1986-05-01,12,high
391,1986-05-01,12,high
392,1986-06-01,13,high
393,1986-06-01,13,high
394,1986-07-01,9,high
395,1986-07-01,9,high
396,1986-08-01,15,high
397,1986-08-01,15,high
398,1986-09-01,10,high
399,1986-09-01,10,high
400,1986-10-01,8,high
401,1986-10-01,8,high
402,1986-11-01,11,high
403,1986-11-01,11,high
404,1986-12-01,19,high
405,1986-12-01,19,high
406,1987-01-01,11,high
407,1987-01-01,11,high
408,1987-02-01,12,high
409,1987-02-01,12,high
410,1987-03-01,11,high
411,1987-03-01,11,high
412,1987-04-01,13,high
413,1987-04-01,13,high
414,1987-05-01,12,high
415,1987-05-01,12,high
416,1987-06-01,11,high
417,1987-06-01,11,high
418,1987-07-01,16,high
